역명,노선명,노선개수,대합실면적,승강장면적,지하상가 개수,역내편의점 개수,화장실개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,소화기 대수,스마트도서관 개수,평균승차총승객수,평균하차총승객수,평균역이용자수
국회의사당,9호선,1,,,,1,2,16,4,30,,80,0,15611,15913,31524
김포공항,9호선,2,,,,2,2,18,3,0,,52,0,6956,10376,17333
노들,9호선,1,,,,1,2,16,6,30,,101,1,4880,4090,8971
노량진,9호선,1,,,,1,2,22,4,30,,74,0,25280,25008,50288
당산,9호선,2,,,,1,2,34,5,30,,101,1,18449,18154,36603
동작,9호선,2,,,,1,2,21,7,30,,102,0,1995,1749,3744
둔촌오륜,9호선,1,,,,1,,,,0,9,,0,1268,1241,2509
등촌,9호선,1,,,,1,1,32,3,40,,90,0,11544,11080,22625
마곡나루,9호선,1,,,,1,1,14,4,40,,51,0,13043,12854,25898
봉은사,9호선,1,,,,1,1,24,4,30,,44,0,20473,21447,41921
사평,9호선,1,,,,1,1,18,4,40,,78,0,3834,3684,7518
삼성중앙,9호선,1,,,,1,1,22,4,10,,8,0,7084,7305,14390
삼전,9호선,1,,,1,1,1,14,4,115,9,-,0,7637,7153,14790
샛강,9호선,1,,,,1,1,12,4,30,,67,0,6169,6106,12275
석촌,9호선,2,,,2,1,2,25,5,204,9,-,0,9344,8286,17630
석촌고분,9호선,1,,,,1,1,6,5,200,9,-,0,6903,6710,13614
선유도,9호선,1,,,,1,1,13,4,40,,92,0,8149,7674,15823
선정릉,9호선,1,,,,1,1,12,4,20,,85,0,9075,9813,18889
송파나루,9호선,1,,,,1,1,6,5,40,9,-,0,5535,5898,11433
신논현,9호선,1,,,,1,1,22,5,30,,135,0,30178,30324,60502
신목동,9호선,1,,,,1,1,10,4,30,,65,0,4207,3735,7942
신반포,9호선,1,,,,1,1,14,4,40,,57,0,4127,4054,8182
신방화,9호선,1,,,,0,1,22,4,30,,62,0,6786,6626,13412
양천향교,9호선,1,,,,1,1,27,4,54,,62,1,9439,9553,18992
언주,9호선,1,,,,1,1,28,4,0,,81,0,10735,10905,21640
여의도,9호선,2,,,,2,2,16,3,40,,61,1,27863,26803,54666
